code,lat,lon
0TN2,35.6559,-84.1855
0TN5,35.8677,-86.4979
0TN6,36.1834,-84.0991
0TS0,30.2517,-98.5624
0TS1,33.0987,-97.2725
0TS4,30.0917,-96.7941
0TS5,30.4419,-95.1863
0TS7,32.8346,-98.1257
0TS8,26.1504,-97.8836
0TS9,35.3401,-100.6296
0TX0,32.4196,-97.7128
0TX1,32.3533,-97.6762
0TX6,29.5052,-97.9969
0TX7,33.0929,-96.3900
0TX8,29.7087,-96.3685
0TX9,33.2501,-96.1169
0U0,44.6424,-115.5330
0U1,44.1421,-115.3143
0U2,43.8017,-113.8311
0U3,44.7446,-114.9214
0U7,43.3236,-113.5903
0U8,44.6105,-113.8960
0U9,44.4613,-116.7580
0V3,40.5155,-98.9462
0V4,37.1417,-79.0164
0V7,36.7164,-110.2284
0VA0,38.5244,-77.6864
0VA1,37.2335,-79.5853
0VA2,37.7965,-79.7667
0VA3,37.6988,-77.0953
0VA4,36.9501,-79.8795
0VA7,37.5232,-77.8194
0VA8,37.2858,-77.7912
0VA9,37.4474,-76.4538
0VG,36.6541,-83.2178
0VI1,37.6889,-77.1014
0W0,47.6322,-122.3277
0W3,39.5668,-76.2024
0W7,48.7282,-122.3360
0WA1,46.6171,-122.8260
0WA2,46.5897,-123.1050
0WI1,45.5072,-92.1419
0WI2,43.2014,-88.3334
0WI4,43.8294,-89.3526
0WI5,44.6498,-91.6694
0WI6,42.8003,-90.5732
0WI7,44.1336,-88.4993
0WI8,43.1389,-88.4723
0WI9,42.9314,-89.3387
0WN0,48.1373,-123.1130
0WN1,46.7519,-120.6020
0WN2,46.1276,-119.0143
0WN5,42.7997,-88.0487
0WS7,42.9710,-89.0285
0WY0,43.0397,-111.0381
0WY1,44.4111,-108.1633
0XA0,33.0140,-97.7085
0XA4,27.9969,-98.8822
0XA5,28.6849,-98.3828
0XA7,30.6623,-97.6228
0XS0,28.4003,-99.5587
0XS1,29.2878,-96.3497
0XS2,30.5557,-100.5308
0XS6,30.5008,-98.1474
0XS7,29.1937,-100.2800
0XS8,29.0770,-100.3716
0XS9,32.1317,-95.3396
0Y6,43.4133,-93.5120
0Z3,59.0499,-158.5817
1001,-34.7214,-56.6113
1003,-31.6619,-54.6640
1004,-33.8344,-54.0007
1063,-32.1306,-61.8935
1079,-27.6895,-57.9275
10AK,61.5921,-149.6776
10AN,64.0022,-145.5933
10AR,34.2628,-92.1215
10AZ,33.3664,-112.6180
10C,42.4027,-88.3769
10CO,39.2681,-108.8640
10D,44.9538,-94.0651
10F,33.0154,-98.6260
10FA,28.7975,-81.9359
10FD,29.0066,-82.4046
10G,40.5372,-81.9544
10GA,33.3251,-84.2983
10IA,42.4167,-92.2502
10ID,43.4944,-113.9220
10IN,39.1592,-87.0998
10KY,36.7593,-87.0938
10LA,30.2507,-92.0957
10LS,30.4918,-92.5728
10MA,42.2626,-72.3070
10MO,38.9182,-91.6831
10MT,47.8344,-106.4728
10NC,36.3407,-77.5090
10ND,47.1875,-102.3620
10OK,35.1667,-97.2170
10TN,36.0719,-86.3544
10TS,31.9979,-94.7998
10TT,33.0154,-98.6260
10U,41.9536,-116.1822
10VA,37.3863,-78.8131
10WA,46.0248,-121.2750
10WI,45.1158,-88.1895
10WY,43.4233,-106.8236
10X,29.4619,-100.1143
10XA,28.6808,-96.6616
10XS,31.7795,-98.9093
1107,-28.7398,-59.4400
1109,-33.2176,-54.3306
11A,31.8833,-85.4849
11AK,64.0019,-145.5016
11AZ,31.6836,-110.2901
11C,42.1745,-85.5510
11CA,36.6733,-119.7220
11CL,34.6300,-117.6530
11FL,30.0437,-81.8852
11IA,42.3496,-92.5133
11II,39.3393,-86.0298
11IN,39.8192,-86.5382
